configuration,case_runs,tp,fp,fn,disposition_correct,disposition_total,surfaced_claims,median_seconds,p95_seconds,reported_cost_usd
rules,6,2,2,0,3,6,4,0.22993800044059753,0.23652266710996628,
naive_single_pass,6,2,1,0,4,6,3,8.964640145597514,20.407765833078884,0.048762
scoped_single_pass,6,0,1,2,4,6,1,2.7867871040361933,5.836681916960515,0.027408
demo_style_react,6,0,0,2,0,6,0,49.81883431295864,120.00926258298568,0.382734
v2_no_semantic,6,0,0,2,0,6,0,0.20979500003159046,0.22984404198359698,
v2,6,0,0,2,0,6,0,0.20914297900162637,0.24476616689935327,
