configuration,case_runs,tp,fp,fn,disposition_correct,disposition_total,surfaced_claims,median_seconds,p95_seconds,reported_cost_usd
rules,6,2,2,0,3,6,4,0.19692770799156278,0.20428299997001886,
naive_single_pass,6,2,2,0,3,6,4,8.98462910449598,16.149992792052217,0.024013
scoped_single_pass,6,0,0,2,3,6,0,2.405233291501645,2.6154012500774115,0.008767
demo_style_react,6,0,0,2,1,6,0,33.1028613539529,34.19751945801545,0.17714
v2_no_semantic,6,0,0,2,3,6,0,12.427001249452587,40.051230957964435,0.123457
v2,6,0,0,2,3,6,0,18.542331125063356,30.458013416966423,0.147334
